Time,Benz,Type,mean,sem,lower,upper
2022-02-04T09:11:04Z,1e-9,Background,5.666666666666667,1.4529663145135578,4.21370035215311,7.119632981180224
2022-02-04T09:11:04Z,1e-9,Total,8.666666666666666,3.1797973380564857,5.48686932861018,11.846464004723153
2022-02-04T09:11:04Z,1e-9,Specific,2.999999999999999,3.4960294939005054,-0.4960294939005063,6.4960294939005045
2022-02-04T09:11:04Z,3.0000000000000004e-9,Background,12.666666666666666,4.333333333333334,8.333333333333332,17
2022-02-04T09:11:04Z,3.0000000000000004e-9,Total,12.666666666666666,3.2829526005987018,9.383714066067965,15.949619267265367
2022-02-04T09:11:04Z,3.0000000000000004e-9,Specific,0,5.436502143433363,-5.436502143433363,5.436502143433363
2022-02-04T09:11:04Z,1e-8,Background,21,2.0816659994661326,18.918334000533868,23.081665999466132
2022-02-04T09:11:04Z,1e-8,Total,24.666666666666668,0.881917103688197,23.784749562978472,25.548583770354863
2022-02-04T09:11:04Z,1e-8,Specific,3.666666666666668,2.2607766610417563,1.4058900056249115,5.927443327708424
2022-02-04T09:11:04Z,3.0000000000000004e-8,Background,53.666666666666664,2.185812841434,51.480853825232664,55.852479508100664
2022-02-04T09:11:04Z,3.0000000000000004e-8,Total,63.666666666666664,3.8441875315569325,59.82247913510973,67.5108541982236
2022-02-04T09:11:04Z,3.0000000000000004e-8,Specific,10,4.422166387140534,5.577833612859466,14.422166387140534
2022-02-04T09:11:04Z,1.0000000000000001e-7,Background,157.66666666666666,7.535103036971544,150.1315636296951,165.2017697036382
2022-02-04T09:11:04Z,1.0000000000000001e-7,Total,198,14.364307617610162,183.63569238238983,212.36430761761017
2022-02-04T09:11:04Z,1.0000000000000001e-7,Specific,40.33333333333334,16.220700080795254,24.11263325253809,56.5540334141286
2022-02-04T09:11:04Z,3.0000000000000004e-7,Background,433.6666666666667,9.938701010583717,423.727965656083,443.6053676772504
2022-02-04T09:11:04Z,3.0000000000000004e-7,Total,567,25.709920264364882,541.2900797356351,592.7099202643649
2022-02-04T09:11:04Z,3.0000000000000004e-7,Specific,133.33333333333331,27.564066785904032,105.76926654742928,160.89740011923735
2022-02-04T09:11:04Z,1e-6,Background,1517.3333333333333,12.440971737681016,1504.8923615956523,1529.7743050710142
2022-02-04T09:11:04Z,1e-6,Total,1793,36.96394639825858,1756.0360536017415,1829.9639463982585
2022-02-04T09:11:04Z,1e-6,Specific,275.66666666666674,39.00142447541001,236.66524219125674,314.6680911420768
2022-02-04T09:55:12Z,1e-9,Background,8,1,7,9
2022-02-04T09:55:12Z,1e-9,Total,8,1.1547005383792517,6.8452994616207485,9.154700538379252
2022-02-04T09:55:12Z,1e-9,Specific,0,1.5275252316519468,-1.5275252316519468,1.5275252316519468
2022-02-04T09:55:12Z,3.0000000000000004e-9,Background,7.666666666666667,0.3333333333333333,7.333333333333334,8
